frame,leading,right_leading,left_leading,following,right_following,left_following
3.07,,,30.0,,,
3.1,,,30.0,,,
3.13,,,30.0,,,
3.17,,,30.0,,,
3.2,,,30.0,,,
3.23,,,30.0,,,
3.27,,,30.0,,,
3.3,,,30.0,,,
3.33,,,30.0,,,
3.37,,,30.0,,,
3.4,,,30.0,,,
3.43,,,30.0,,,
3.47,,,30.0,,,
3.5,,,30.0,,,
3.53,,,30.0,,,
3.57,,,30.0,,,
3.63,,,30.0,,,
3.67,,,30.0,,,
3.7,,,30.0,,,
3.73,,,30.0,,,
3.77,,,30.0,,,
3.8,,,30.0,,,
3.83,,,30.0,,,
3.87,,,30.0,,,
3.9,,,30.0,,,
3.93,,,30.0,,,
3.97,,,30.0,,,
4.0,,,30.0,,,
4.03,,,30.0,,,
4.07,,,30.0,,,
4.1,,,30.0,,,
4.13,,,30.0,,,
4.17,,,,,,
4.2,,,,,,
4.23,,,30.0,,,
4.27,,,30.0,,,
4.3,,,30.0,,,
4.33,,,30.0,,,
4.37,,,30.0,,,
4.4,,,30.0,,,
4.43,,,30.0,,,
4.47,,,30.0,,,
4.5,,,30.0,,,
4.53,,,30.0,,,
4.57,,,30.0,,,
4.6,,,30.0,,,
4.63,,,30.0,,,
4.67,,,30.0,,,
4.7,,,30.0,,,
4.73,,,30.0,,,
4.77,,,30.0,,,
4.8,,,,,,
4.83,,,,,,
4.87,,,,,,
4.9,,,30.0,,,
4.93,,,30.0,,,
4.97,,,30.0,,,
5.0,,,30.0,,,
5.03,,,30.0,,,
5.07,,,30.0,,,
5.1,,,30.0,,,
5.13,,,30.0,,,
5.17,,,30.0,,,
5.2,,,30.0,,,
5.23,,,30.0,,,
5.27,,,30.0,,,
5.3,,,30.0,,,
5.33,,,30.0,,,
5.37,,,30.0,,,
5.4,,,30.0,,,
5.43,,,30.0,,,
5.47,,,30.0,,,
5.5,,,30.0,,,
5.53,,,30.0,,,
5.57,,,30.0,,,
5.6,,,30.0,,,
5.63,,,30.0,,,
5.67,,,30.0,,,
5.7,,,30.0,,,
5.73,,,30.0,,,
5.77,,,30.0,,,
5.8,,,30.0,,,
5.83,,,30.0,,,
5.87,,,30.0,,,
5.9,,,30.0,,,
5.93,,,30.0,,,
5.97,,,30.0,,,
6.0,,,30.0,,,
6.03,,,30.0,,,
6.07,,,30.0,,,
6.1,,,30.0,,,
6.13,,,30.0,,,
6.17,,,30.0,,,
6.2,,,30.0,,,
6.23,,,30.0,,,
6.27,,,30.0,,,
6.3,,,30.0,,,
6.33,,,30.0,,,
6.37,,,30.0,,,
6.4,,,30.0,,,
6.43,,,30.0,,,
6.47,,,30.0,,,
6.5,,,30.0,,,
6.53,,,30.0,,,
6.57,,,,,,
6.6,,,,,,
6.63,,,,,,
6.67,,,,,,
6.7,,,,,,
6.73,,,,,,
6.8,,,30.0,,,
6.93,,,,,,
6.97,,,30.0,,,
7.0,,,,,,
7.03,,,,,,
7.07,,,30.0,,,
7.1,,,30.0,,,
7.13,,,30.0,,,
7.17,,,30.0,,,
7.2,,,30.0,,,
7.23,,,30.0,,,
7.27,,,30.0,,,
7.3,,,30.0,,,
7.33,,,30.0,,,
7.37,,,30.0,,,
7.4,,,30.0,,,
7.43,,,30.0,,,
7.47,,,30.0,,,
7.5,,,30.0,,,
7.53,,,30.0,,,
7.57,,,30.0,,,
7.6,,,30.0,,,
7.63,,,,,,
7.67,,,30.0,,,
7.7,,,30.0,,,
7.73,,,30.0,,,
7.77,,,30.0,,,
7.8,,,30.0,,,
7.83,,,30.0,,,
7.87,,,30.0,,,
7.9,,,30.0,,,
7.93,,,30.0,,,
7.97,,,30.0,,,
8.0,,,30.0,,,
8.03,,,30.0,,,
8.07,,,30.0,,,
8.1,,,30.0,,,
8.13,,,30.0,,,
8.17,,,30.0,,,
8.2,,,30.0,,,
8.23,,,30.0,,,
8.27,,,30.0,,,
8.3,,,30.0,,,
8.33,,,30.0,,,
8.37,,,30.0,,,
8.4,,,30.0,,,
8.43,,,30.0,,,
8.47,,,30.0,,,
8.5,,,30.0,,,
8.53,,,30.0,,,
8.57,,,30.0,,,
8.6,,,30.0,,,
8.63,,,30.0,,,
8.67,,,30.0,,,
8.7,,,30.0,,,
8.73,,,30.0,,,
8.77,,,30.0,,,
8.8,,,30.0,,,
8.83,,,30.0,,,
8.87,,,30.0,,,
8.9,,,30.0,,,
8.93,,,30.0,,,
8.97,,,30.0,,,
9.0,,,30.0,,,
9.03,,,30.0,,,
9.07,,,30.0,,,
9.1,,,30.0,,,
9.13,,,30.0,,,
9.17,,,30.0,,,
9.2,,,30.0,,,
9.23,,,30.0,,,
9.27,,,30.0,,,
9.3,,,30.0,,,
9.33,,,30.0,,,
9.37,,,30.0,,,
9.4,,,30.0,,,
9.43,,,30.0,,,
9.47,,,30.0,,,
9.5,,,30.0,,,
9.53,,,30.0,,,
9.57,,,30.0,,,
9.6,,,30.0,,,
9.63,,,30.0,,,
9.67,,,30.0,,,
9.7,,,30.0,,,
9.73,,,30.0,,,
9.77,,,30.0,,,
9.8,,,,,,
9.83,,,,,,
9.87,,,,,,
9.9,,,,,,
9.93,,,,,,
9.97,,,,,,
